Omnipotent,4
hordes,1
yellow,2
interchang,3
four,1
woods,1
clotted,1
thirst,1
preface,2
woody,2
offendeth,3
Until,2
disobeying,3
granting,2
cancell,2
pre-eminence,4
Journey,2
Michel,2
lore,1
lord,1
Mordecai,3
sinking,2
straiten,2
Spurn,1
Blade,1
'scap,1
foul,1
uncertain,3
Adjudges,2
rancour,2
Lest,1
disturb,2
uttering,3
scholar,2
Less,1
gush,1
Tomyris,3
shouting,2
succession,3
Paul,1
Thais,1
vermeil-tinctur,4
O'erwhelmed,3
nigh,1
tired,1
pulse,1
rampart,2
second,2
Whate'er,3
sooth,1
Mantuana,3
valiant,3
crimson-seething,4
Bereft,2
unnumber,3
Light-armed,2
errors,2
thunder,2
fingers,2
Companion,3
lowliness,3
increasing,4
admiral,3
cull,1
psalmody,3
indurated,3
crouch,1
chins,1
herb,1
Measure,3
Borrow,2
here,1
herd,1
reported,2
hers,1
soul-impassion,4
Precise,2
substance,2
unconsum,3
uplifting,3
climbed,1
reports,2
Farther,2
Bandied,2
natures,2
dimness,2
down-streaming,4
NOW,1
Receptacle,3
climber,2
rebel,2
sev'ral,2
Bellincione,3
whoso,2
divide,2
Deiphile,2
Three,1
brought,1
behooveful,4
stern,1
sinew,2
Security,4
unit,2
Threw,1
spoke,1
tardiness,3
Rinieri,4
vicegerent,4
symphony,3
music,2
therefore,3
strike,1
until,2
Recent,2
expiring,3
holy,2
acclivity,4
Langia,3
brings,1
gashes,1
whirling,2
seiz,1
glass,1
holm,1
Mantuan,2
Sithence,2
hurl,1
midst,1
hold,1
morally,3
Grafflacane,3
pursue,1
Imports,2
blade,1
debarr,2
sweeter,2
exhale,2
Luni,2
example,2
sun-set,2
wand,1
wane,1
unjust,2
household,3
bitterest,3
infus,2
caution,2
want,1
counseling,3
Travelling,3
Guelphs,1
absolute,3
motion,2
poverty,3
LO,1
travel,2
Attention,3
copious,2
how,1
hot,1
hop,1
disgrace,2
cadence,2
A,1
beauty,3
shores,1
wrong,1
Gorgona,3
Arethusa,4
gusty,2
scourge,1
wins,1
sheep-fold,2
revolv,2
nymphs,1
Another,3
keeps,1
wing,1
wind,1
wine,1
blind,1
miry,2
Wills,1
disperseth,3
gyres,1
Nazareth,3
wrought,1
wimpled,1
fir,1
Addrest,2
His,1
fit,1
recreant,3
heretofore,4
fix,1
Resounded,2
deriveth,3
distinguishing,4
