funereal,4
unscientific,5
divinely,4
cod-liver,3
full-lengths,2
foul,1
jack-of-all-trades,4
four,1
gag,1
prefix,2
woods,1
clotted,1
Duck,1
hanging,2
plaudits,2
woody,2
Until,2
marching,2
disobeying,3
canes,1
granting,2
attracted,2
electricity,5
pre-eminence,4
insertion,3
DRYDEN,2
formless,2
Untried,2
superficially,6
Western,2
portentous,3
lock-jaws,2
beacon,3
meadows,3
sinking,2
Ding,1
Spurn,1
treasuries,4
sheep-shearing,4
churned,1
oceans,3
not'ing,2
tinkerings,3
tantalizing,4
yellow,2
bolting,2
uncertain,3
stabbed,1
bringing,2
elevations,4
ferreting,3
whale-lines,3
believers,4
wooded,1
songster,2
uttering,3
scholar,2
Less,1
wooden,2
Saco,2
clings,1
piling,2
broiled,1
Sperma-ceti,4
persisted,2
'mong,1
Sands,1
crotch,1
succession,3
Paul,1
sea-sofa,4
reliable,3
sheet-iron,3
Bolivia,4
ornamental,4
burly-browed,3
puissant,2
Cherries,2
sooty,2
nigh,1
heaped,2
imminglings,3
miller,2
cordially,4
noon-scene,2
mail,1
pulse,1
elegant,3
second,2
Hecla,2
valiant,3
sustaining,3
compliance,3
sailed,1
scraped,1
haughtily,3
bolts,1
hilariously,4
mind'em,2
errors,2
relieving,4
whaling,2
BERMUDAS,3
ruthless,2
thunder,2
rope-yarn,4
cooking,2
fingers,2
shamble,1
'You,1
hostile,2
fossil,2
waif-poles,2
sneering,2
College,2
increasing,4
etexts,2
exclamations,4
shocks,1
psalmody,3
avers,2
hero,2
viciousness,3
Plate,1
gayer,1
leaning,3
here,1
herd,1
reported,2
Fiery,3
seventy-seven,5
lumber-like,3
gaffs,1
fissures,2
shriek,2
calculate,3
invade,2
bulkhead,3
substance,2
whiffs,1
unwillingness,4
elaborate,4
climbed,1
unfriendly,4
reports,2
Yonder,2
Seat,2
orthodoxy,4
misgrown,2
transfixed,2
natures,2
NOT,1
military,4
Isles,1
rebel,2
punctilious,3
golden,2
divide,2
classification,5
secluded,2
sweetest,2
SAMUEL,2
precincts,2
Three,1
shabbily,3
summons,2
brought,1
Hardicanutes,4
remnant,2
thick-lipped,2
stern,1
WHALE-FISHERY,5
sinew,2
scare-crow,3
unit,2
cherishing,3
cheating,3
spoke,1
exhort,2
glimmering,3
cannibal,3
cloven,2
occupying,3
moth,1
reverenced,3
music,2
therefore,3
passport,2
violently,3
strike,1
fossiliferous,5
until,2
icebound,3
suffocated,3
'Though,1
females,2
whale-steak,4
holy,2
successful,3
Biographical,4
hereby,3
whirling,2
canonized,3
hurt,1
99,0
glass,1
diademed,3
menaced,2
tying,1
lord,1
91,0
90,0
midst,1
hold,1
gashed,1
whalebone,3
97,0
circumstances,3
morally,3
PREBLE,1
archaeological,5
"550,000",0
pursue,1
famed,1
blade,1
plunged,1
Chilian,3
locker,2
mainyard,3
View,2
leaped,2
moidores,2
Holloa,2
apoplexy,4
ELLERY,3
example,2
misfortunes,3
sun-set,2
cloud-scud,2
wand,1
La,1
Lo,1
household,3
OWEN,2
organized,3
Reality,4
currency,3
after-hatches,3
Tartarian,4
caution,2
kingdoms,2
want,1
situated,2
Unicornism,4
crutch-wise,2
absolute,3
provincial,4
enlist,2
hoe,0
hob,1
groaned,1
auger,2
travel,2
cavaliers,4
blunder-born,3
clews,1
Physiognomist,4
embellishments,4
how,1
hot,1
hesitatingly,5
hop,1
significance,4
dignified,3
sally-ports,3
A,1
hoot,1
abstraction,3
marbleized,2
MORALS,2
inherent,3
tingles,1
disrated,2
south-eastward,4
ridge-pole,3
half-wrapping,3
shores,1
wrong,1
homewardbound,4
destined,2
Hurriedly,4
habitude,3
irradiate,4
HAND,1
domed,1
obscuring,3
Arethusa,4
matter-of-fact,4
persuasiveness,5
calves,1
trellised,2
immitigable,4
pyramidical,5
sweatings,3
presiding,3
phrenology,4
baggage,2
Morgana,3
Another,3
keeps,1
democratic,4
wing,1
wind,1
wine,1
sprawling,2
snugly,2
ground-tier,3
devoted,2
dreamed,2
Blackstone,2
wiseish,2
profaned,2
narwhales,2
whale-killer,4
intangible,3
bridal-bedsteads,5
medicament,4
incoherences,4
patrolled,2
fidelity,4
sentry,2
TRUE,0
wrought,1
admirably,4
His,1
Arkite,2
fit,1
Prairies,2
screaming,3
fix,1
mayst,1
HEREABOUTS,4
rescued,1
DANIEL,3
Glimpses,1
bowstring,2
clumped,1
nobler,2
wales,1
hidden,2
alpine,2
fin,1
Him,1
tow-lines,2
feelest,2
grievous,3
copying,2
thrones,1
sneezing,2
slate,1
somerset,3
riggers,2
disturb,2
Commonly,3
LIGHTNING,2
throned,1
pure-watered,4
staved,1
effects,2
scarfing,2
elevates,3
interrupt,3
sixteen,2
slats,1
silver,2
vernacular,4
represents,3
mouts,1
Start,1
teeth-tiered,3
war-club,2
STARBUCK,2
upliftings,3
buck-horn,2
Shame,1
spotless,2
1750,0
Dutchman,2
Platonists,3
interfering,4
whale-spout,3
intercepted,3
burial,3
preceded,2
whim,1
Perchance,2
telescope,3
woes,0
warlike,2
series,2
stronger,2
bowls,1
swaths,1
stoneless,3
precedes,2
in-shore,2
Lionel,2
mutineer,3
allay,2
blinded,1
whip,1
borne,1
whale-boat,3
Algiers,3
misfortune,3
drove,1
literature,4
centaurs,2
bill-fish,2
ha,1
BENNETT,2
excepting,3
urbane,2
sitting-rooms,3
specialties,4
ponderings,3
shad-bellied,3
mend,1
cassock,2
millions,2
outburst,2
Vanity,3
rented,1
stamping,2
assured,2
clanking,2
foremastmen,4
University,5
Work,1
threatened,3
fugitive,3
VISITS,2
weather-cocks,4
assures,2
dragons,2
encountering,4
grapes,1
Trinity,3
crowned,1
estimate,3
solicited,3
knit,1
universally,5
enormous,3
ate,1
Socratic,3
shelves,1
interflow,3
sea-ivory,5
flurry,2
Horn,1
shipped,1
speedy,2
knobby,2
Human,2
reserving,3
Gall,1
Niger,2
symbolize,3
caught,1
flitting,2
pitchpoling,3
breed,0
Rarmai,2
Peace,2
subtlety,3
one-legged,3
Please,2
wast,1
sallies,2
channels,2
wash,1
spinning,2
FIGURED,2
joyousness,2
clamorous,3
sallied,2
persecutions,4
Dut,1
onward,2
specially,4
hill-sides,2
ocean-inns,4
service,2
similarly,4
lege,1
needed,1
master,2
blossoms,2
unprofessional,5
legs,1
bitter,2
ranging,2
rummaged,2
Alexander,4
banister,3
charter,2
Ifs,1
immensities,4
fibrous,2
lunges,1
lumber,2
frowned,1
cisterns,2
wisdom,2
incoherently,5
task,1
mutilated,3
Victory,3
palsy,2
foregone,3
crawl,1
positively,5
expanding,3
Icebergs,3
Meshach,2
peril,2
exultation,4
showed,1
icicle,2
title-page,3
coward,2
tree,1
rusty,2
idly,2
nations,2
project,2
predominating,5
exclaimed,2
fragrance,2
Cods,1
spermaceti,4
103,0
feeling,2
Heeva-Heeva,4
besooted,2
Angelo,3
volley,2
Vice,1
AUGUST,2
willingness,3
broods,1
desisted,2
paddles,1
Keeping,2
Typhoon,2
craven,2
antagonistic,5
headland,3
twin-tubs,2
Gallipagos,4
Intolerably,5
brawny,2
fan-tail,2
interblending,4
quay,1
deck-table,2
paddled,1
Angels,2
baser,2
dozen,2
Then,1
kidnap,2
wholesome,3
Rose-bud,3
concrete,2
source,1
plum-puddingers,4
Thee,1
responsible,3
gripe,1
eagerly,4
circumambient,5
NANTUCKET,3
causing,2
absorbed,2
quill,1
They,1
Unicorn,3
warrantry,3
Tall,1
inanimate,4
Jones,1
buck,1
committing,3
shall,1
thrilled,1
Wish,1
object,2
whist-tables,2
re-appearing,5
toil,1
mouth,1
inexpressible,4
letter,2
foam-flakes,2
retaining,3
thicker,2
drought,1
shalt,1
bowings,2
foot-board,2
circumferences,4
stupid,2
episode,3
scimetar-shaped,4
artificialness,6
Fin-Back,2
grove,1
professor,3
wreck,1
knitting-needles,3
circlings,2
shiftings,2
thunder-heads,4
Magnitude,3
singed,1
Lothario,3
promiscuously,4
nineteenth,3
scream,2
came,1
marvel,2
saying,1
self-collectedness,5
gorings,2
departing,3
Cambyses,2
blazed,1
meetings,2
liest,2
padded,1
Rafters,2
whittling,2
unconditional,5
main-sail,2
Paradise,3
pilau,2
tempted,1
cheaply,3
hearth-stone,3
abreast,3
vindictive,3
caper,2
touches,1
busy,2
clicked,1
seal,2
shuffling,2
quaint,1
red-haired,2
bust,1
unmisgiving,4
'quid,1
cougar,2
overwrapped,3
Crappoes,1
bliss,1
touched,1
rich,1
upbraiding,3
foolishly,3
codfish,2
Octavo,3
'no,1
Belated,2
emphatically,5
plate,1
remotest,3
