0,wrd_length,total_char,syl_count,syl_sum,sentiment
"Then she went to work nibbling at the mushroom (she had kept a piece of it in her pocket) till she was about a foot high: then she walked down the little passage: and THEN--she found herself at last in the beautiful garden, among the bright flower-beds and the cool fountains.","[4, 3, 4, 2, 4, 8, 2, 3, 8, 3, 3, 4, 1, 5, 2, 2, 2, 3, 6, 4, 3, 3, 5, 1, 4, 4, 4, 3, 6, 4, 3, 6, 7, 3, 4, 3, 5, 7, 2, 4, 2, 3, 9, 6, 5, 3, 6, 11, 3, 3, 4, 9]",218,"[1 0 1 1 1 2 1 1 2 0 1 1 1 2 1 1 1 1 2 1 0 1 2 1 1 1 1 0 1 1 1 1 2 1 1 0 1
 2 1 1 1 1 4 2 2 1 1 3 1 1 1 2]",62,0.245277777778
CHAPTER VIII.,"[7, 4]",11,[2 1],3,0.0
"The Queen's Croquet-Ground  A large rose-tree stood near the entrance of the garden: the roses growing on it were white, but there were three gardeners at it, busily painting them red.","[3, 5, 2, 14, 1, 5, 9, 5, 4, 3, 8, 2, 3, 6, 3, 5, 7, 2, 2, 4, 5, 3, 5, 4, 5, 9, 2, 2, 6, 8, 4, 3]",149,[1 1 0 3 1 1 3 1 2 1 2 1 1 2 1 1 2 1 1 1 1 1 1 1 1 3 1 1 3 2 1 0],43,0.0828571428571
"Alice thought this a very curious thing, and she went nearer to watch them, and just as she came up to them she heard one of them say, 'Look out now, Five!","[5, 7, 4, 1, 4, 7, 5, 3, 3, 4, 6, 2, 5, 4, 3, 4, 2, 3, 4, 2, 2, 4, 3, 5, 3, 2, 4, 3, 5, 3, 3, 4]",119,[2 1 1 1 2 2 1 1 0 1 3 1 1 1 1 1 1 0 1 1 1 1 0 2 1 1 1 1 1 1 1 1],35,-0.1625
Don't go splashing paint over me like that!',"[2, 3, 2, 9, 5, 4, 2, 4, 4]",35,[1 0 1 2 1 2 1 1 1],10,0.0
"'I couldn't help it,' said Five, in a sulky tone; 'Seven jogged my elbow.'","[2, 5, 3, 4, 2, 4, 4, 2, 1, 5, 4, 6, 6, 2, 5]",55,[1 1 0 1 1 1 1 1 1 2 1 2 1 1 2],17,0.0
"On which Seven looked up and said, 'That's right, Five!","[2, 5, 5, 6, 2, 3, 4, 5, 2, 5, 4]",43,[1 1 2 1 1 1 1 1 0 1 1],11,0.357142857143
Always lay the blame on others!',"[6, 3, 3, 5, 2, 6]",25,[2 1 1 1 1 2],8,0.0
'YOU'D better not talk!',"[4, 2, 6, 3, 4]",19,[1 0 2 1 1],5,0.625
said Five.,"[4, 4]",8,[1 1],2,0.0
